accession,name,CS number,country code,latitude,longitude,collector,seq by,continent,country,admixed group,site,GTM axis 1,GTM axis 2,t-SNE axis 1,t-SNE axis 2,Principal component 1,Principal component 2
9935,BAU-15,CS76694,FRA,50.6,2.93,0,Monsanto,Europe,"France","Western Europe","",9.989510039003308695e-01,-9.238713841964402151e-01,6.192951202392578125e+00,-3.428777313232421875e+01,-3.832347413443248030e+00,-2.482741519537361796e+01
9937,CATS-6,CS76760,FRA,50.79,2.69,0,Monsanto,Europe,"France","Western Europe","",5.008843937234782606e-01,-9.999803392171447980e-01,2.304956436157226562e+01,-3.419763946533203125e+01,9.919331415865382695e+00,-3.738311629744877962e+01
9938,WAV-8,CS78854,FRA,50.65,2.99,0,Monsanto,Europe,"France","Western Europe","",7.498751547200980250e-01,-9.144309982790753688e-01,1.888109779357910156e+01,-3.137220382690429688e+01,2.442312125445821991e+00,-3.041918965552495635e+01
9939,Aitba-2,CS76347,MAR,31.48,-7.45,,MPI,Africa,"Morocco","Relict","",-9.595575515717975623e-01,-7.388549583469161686e-01,-2.866888046264648438e+01,-4.331611251831054688e+01,-1.929294400969124368e+01,4.406394010504130598e+00
9941,Fei-0,CS76412,POR,40.92,-8.54,,MPI,Europe,"Portugal","Western Europe","",7.559098770788478250e-01,-7.468567581378812159e-01,1.750013160705566406e+01,-2.921468544006347656e+01,4.124599274965143891e+00,-2.905627701848391808e+01
9942,Agu-1,CS76409,ESP,41.32,-1.34,,MPI,Europe,"Spain","Spain","",-2.013442253280312011e-02,-9.410566666605746367e-01,-2.866748809814453125e+01,-4.919306564331054688e+01,-1.080865405783336186e+01,-1.450548774580839329e+01
9943,Cdm-0,CS76410,ESP,39.73,-5.74,,MPI,Europe,"Spain","Spain","",-5.033045960997879487e-01,-9.999546889643032843e-01,-1.417348861694335938e+00,-4.505248260498046875e+01,-9.540756338416320759e+00,-2.888081903203400813e+01
9944,Don-0,CS76411,ESP,36.83,-6.36,,MPI,Europe,"Spain","Relict","",-9.999635613971846748e-01,-9.998308552338791566e-01,-3.417881774902343750e+01,-3.947998046875000000e+01,-2.217853016987876913e+01,1.075031762817229897e+00
9945,Leo-1,CS76413,ESP,41.8,-3.11,,MPI,Europe,"Spain","Admixed","",-3.792617041186503030e-02,-6.214758257094445959e-01,-1.817047119140625000e+01,-4.348759460449218750e+01,-2.611480929025611353e+00,-2.444685613600983132e+01
9946,Mer-6,CS76414,ESP,38.92,-6.34,,MPI,Europe,"Spain","Spain","",-5.091134675750513816e-01,-9.995125879054768125e-01,-1.727397799491882324e+00,-4.432463073730468750e+01,-1.065315534378965445e+01,-2.619846871074696537e+01
9947,Ped-0,CS76415,ESP,40.74,-3.9,,MPI,Europe,"Spain","Relict","",-9.999924449410534377e-01,-9.998074475558150764e-01,-3.317224884033203125e+01,-3.852259063720703125e+01,-2.382552084487143418e+01,2.840477435269850304e+00
9948,Pra-6,CS76416,ESP,41.05,-3.54,,MPI,Europe,"Spain","Spain","",-1.270697260146749427e-02,-7.497440362531736513e-01,-2.362004280090332031e+01,-4.350387954711914062e+01,-8.706669759724171342e+00,-1.890936876328767724e+01
9949,Qui-0,CS76417,ESP,42.69,-6.93,,MPI,Europe,"Spain","Western Europe","",-1.449051031622160431e-03,-5.000684971666503609e-01,-1.341351127624511719e+01,-3.768305969238281250e+01,-4.750211289261612180e+00,-2.385009101786697272e+01
9950,Vie-0,CS76418,ESP,42.63,0.76,,MPI,Europe,"Spain","Spain","",-7.155892584577411937e-05,-9.992179612043227133e-01,-3.013677215576171875e+01,-5.100757980346679688e+01,-1.134731989314182599e+01,-1.497059016285824384e+01
9951,Kly-1,CS76385,RUS,51.3333,82.5667,Heike Schmuths,MPI,Europe,"Russian Federation","Asia","Kolyvan",-7.509658520958135686e-01,9.997716280349077111e-01,-3.205934906005859375e+01,8.514766693115234375e+01,-3.179854221972012951e+01,9.268849345227769732e+01
9952,Kly-4,CS76384,RUS,51.32,82.55,,MPI,Europe,"Russian Federation","Asia","",-7.128181705571158266e-01,9.978338236133124095e-01,-3.207826614379882812e+01,8.613404846191406250e+01,-3.195410839188085106e+01,9.198180488572262448e+01
9953,Koz-2,CS76383,RUS,51.33,82.19,,MPI,Europe,"Russian Federation","Asia","",-6.435523463894267104e-01,9.996113189967926749e-01,-3.282641601562500000e+01,8.749943542480468750e+01,-3.407346692796836862e+01,9.769984632393668278e+01
9955,Stepn-2,CS76377,RUS,54.09,60.46,,MPI,Europe,"Russian Federation","Asia","",-9.140323064345421411e-01,9.729708819159923472e-01,-3.103083801269531250e+01,7.854005432128906250e+01,-2.877612607428135760e+01,6.740770129478042350e+01
9956,Stepn-1,CS76378,RUS,54.06,60.48,,MPI,Europe,"Russian Federation","Asia","",-9.018340070748085413e-01,9.924682062556094975e-01,-3.086979103088378906e+01,7.891536712646484375e+01,-3.050765937471921774e+01,7.087401100785078256e+01
9957,Borsk-2,CS76421,RUS,53.04,51.75,,MPI,Europe,"Russian Federation","Asia","",-8.549936967219078365e-01,9.995269649429896486e-01,-3.055648612976074219e+01,8.053859710693359375e+01,-3.142187904455483505e+01,8.587452410166264372e+01
9958,Shigu-1,CS76375,RUS,53.33,49.48,,MPI,Europe,"Russian Federation","Asia","",-8.429693347551951987e-01,9.769397141619138303e-01,-3.151220130920410156e+01,7.942056274414062500e+01,-3.131665453619038786e+01,7.457599813310379488e+01
9959,Shigu-2,CS76374,RUS,53.33,49.48,,MPI,Europe,"Russian Federation","Asia","",-8.469073064459751166e-01,9.948457715394545264e-01,-3.122710418701171875e+01,7.991599273681640625e+01,-2.993860110166518140e+01,7.830223998104686700e+01
9960,Kidr-1,CS76376,RUS,51.31,57.56,,MPI,Europe,"Russian Federation","Asia","",-8.991907239206737845e-01,9.684083115933979080e-01,-3.143671798706054688e+01,7.826184844970703125e+01,-2.772266764254155191e+01,6.319810672500318560e+01
9962,Galdo-1,CS76423,ITA,40.57,15.32,,MPI,Europe,"Italy","Italy, Balkan and Caucasus","",9.994144054706968205e-01,-9.558356856417429270e-01,5.399695396423339844e+00,-3.591346740722656250e+01,-5.203534590679613991e+00,-2.351794425443203806e+01
9963,Lago-1,CS76367,ITA,39.18,16.26,,MPI,Europe,"Italy","Italy, Balkan and Caucasus","",-4.450343425824602184e-01,-8.345397023160884276e-01,4.113378524780273438e+00,-3.888497161865234375e+01,-9.134938884956191885e+00,-2.395951911625705222e+01
9964,Mammo-1,CS76365,ITA,38.36,16.23,,MPI,Europe,"Italy","Italy, Balkan and Caucasus","",-4.455633270048157679e-01,-8.338876629473632729e-01,2.831871747970581055e+00,-3.881255340576171875e+01,-9.000297979757846178e+00,-2.203632253591710111e+01
9965,Mammo-2,CS76364,ITA,38.38,16.22,,MPI,Europe,"Italy","Italy, Balkan and Caucasus","",-4.600466383542038407e-01,-8.316964127377580729e-01,2.911116600036621094e+00,-3.850072479248046875e+01,-1.033296902356885560e+01,-2.254405700018548941e+01
9966,Monte-1,CS76361,ITA,40.28,15.65,,MPI,Europe,"Italy","Italy, Balkan and Caucasus","",9.981863102440429181e-01,-9.597827621683593380e-01,5.093133449554443359e+00,-3.625306320190429688e+01,-7.113731045990329349e+00,-2.403551064213237609e+01
